Country,Gold,Silver,Bronze,Total
Afghanistan,0.0,0.0,0.20390532544378637,0.20390532544378637
Albania,0.0,0.0,0.24449704142011797,0.24449704142011797
Algeria,0.6759763313609461,0.40781065088757273,0.7697041420118342,1.8534911242603513
Argentina,0.9136094674556201,0.9106508875739645,1.8118343195266249,3.6360946745562117
Argentina,-0.03337278106508901,0.01834319526627226,0.029467455621301777,0.014437869822485183
Armenia,0.1923076923076925,1.2171597633136102,0.9436686390532536,2.3531360946745536
Australasia,-0.12615384615384606,-0.17207100591715907,-0.2121893491124247,-0.5104142011834334
Australia,13.029704142011838,14.328520710059138,16.752071005917117,44.11029585798815
Australia,0.20236686390532554,0.22461538461538444,0.16568047337278102,0.5926627218934915
Austria,0.6884023668639052,0.7641420118343198,1.4236686390532542,2.87621301775148
Austria,0.01834319526627226,0.01834319526627226,-0.03337278106508901,0.003313609467456402
Azerbaijan,0.9320710059171589,1.7588165680473367,3.319999999999993,6.010887573964482
Bahamas,0.7518343195266279,0.18071005917159777,0.4899408284023661,1.4224852071005927
Bahrain,0.4599999999999991,0.34934911242603484,0.12224852071005898,0.9315976331360929
Barbados,0.0,0.0,0.0874556213017752,0.0874556213017752
Belarus,1.2644970414201175,2.9310059171597587,3.9746745562130172,8.170177514792897
Belgium,0.7065088757396474,0.2811834319526696,1.9429585798816573,2.930650887573961
Belgium,0.0,0.058934911242603555,0.04781065088757397,0.10674556213017783
Bermuda,0.11644970414201161,0.0,0.05266272189349108,0.16911242603550303
Bohemia,0.0,-0.057514792899408196,-0.14934911242603555,-0.2068639053254433
Botswana,0.12224852071005898,0.22710059171597585,0.11644970414201161,0.46579881656804645
Brazil,3.6953846153846115,4.644852071005914,7.082958579881648,15.423195266272216
Brazil,0.0,0.0,0.058934911242603555,0.058934911242603555
British West Indies,0.0,0.0,0.058934911242603555,0.058934911242603555
Bulgaria,3.8885207100591686,5.508994082840218,5.843431952662712,15.240946745562127
Bulgaria,0.029467455621301777,0.08840236686390535,0.08840236686390535,0.2062721893491123
Burkina Faso,0.0,0.0,0.11644970414201161,0.11644970414201161
Burundi,0.08165680473372783,0.11065088757396424,0.0,0.1923076923076925
Cabo Verde,0.0,0.0,0.12224852071005898,0.12224852071005898
Cameroon,0.2797633136094664,0.04106508875739642,0.16911242603550303,0.4899408284023661
Canada,4.496213017751479,6.958934911242594,9.237988165680463,20.69313609467457
Canada,-0.022248520710058894,-0.026153846153845528,-0.10011834319526436,-0.14852071005917367
Ceylon,0.0,0.012071005917159816,0.0,0.012071005917159816
Chile,0.3087573964497041,0.357514792899408,0.22804733727810644,0.8943195266272177
China,30.3030769230769,22.183076923076953,19.44437869822491,71.9305325443786
Chinese Taipei,0.9784615384615378,0.9963313609467441,2.3415384615384625,4.316331360946734
Colombia,0.5242603550295861,1.67763313609467,1.6201183431952657,3.8220118343195253
Costa Rica,0.08165680473372783,0.07005917159763309,0.1749112426035504,0.3266272189349113
Croatia,1.724023668639056,1.5727810650887548,1.753491124260357,5.050295857988161
